,Listing,Price,SQMUP,Room Info,Area,Location,Ads
2272,Mieszkanie dwupokojowe,620 000 ,12 810 ,2 ,48.4  ,"ul. Bohaterów Warszawy, Skorosze, Ursus, Warszawa, mazowieckie",Oferta prywatna
2273,Ogród 80m2 | 2 m. parkingowe | Smart Home | 2013r.,1 299 000 ,12 028 ,4 ,108  ,"Zerzeń, Wawer, Warszawa, mazowieckie",iHomesBiuro nieruchomości
2274,Dwustronne | 3 pokoje | oddzielna kuchnia,1 050 000 ,18 453 ,3 ,56.9  ,"ul. Franciszkańska, Muranów, Śródmieście, Warszawa, mazowieckie",Biuro nieruchomości
2275,"3pokojowe mieszkanie na Bemowie, blisko Hali Wola",685 000 ,11 455 ,3 ,59.8  ,"Jelonki Południowe, Bemowo, Warszawa, mazowieckie",METROHOUSE WisłaBiuro nieruchomości
2276,70 m2 | przestronne | świetna lokalizacja,730 000 ,10 473 ,3 ,69.7  ,"Grodzisk, Białołęka, Warszawa, mazowieckie",PURE ESTATESBiuro nieruchomości
2277,"Gocław, Bracławska,jezioro,38m2, 2 pokoje,ogródek",539 000 ,14 184 ,2 ,38  ,"ul. Bracławska, Gocław, Praga-Południe, Warszawa, mazowieckie",Sigma NieruchomościBiuro nieruchomości
2278,Mieszkanie podzielone na 2 metro Racławicka,1 155 000 ,19 914 ,3 ,58  ,"al. Niepodleglosci 121/123, Stary Mokotów, Mokotów, Warszawa, mazowieckie",Oferta prywatna
2279,2-pokojowe mieszkanie 39m2 + loggia Bezpośrednio,Zapytaj o cenę2 pokoje39.14 m²,,,,"ul. Piotra Wysockiego, Bródno, Targówek, Warszawa, mazowieckie",Home InvestInwestycja deweloperska
2280,4-pokojowe mieszkanie 80m2 + taras Bezpośrednio,Zapytaj o cenę4 pokoje80.51 m²,,,,"ul. Piotra Wysockiego, Bródno, Targówek, Warszawa, mazowieckie",Home InvestInwestycja deweloperska
2281,3-pokojowe mieszkanie 65m2 + balkon Bez Prowizji,Zapytaj o cenę3 pokoje65.57 m²,,,,"ul. Piotra Wysockiego, Bródno, Targówek, Warszawa, mazowieckie",Home InvestInwestycja deweloperska
2282,BEMOWO ! Mieszkanie na sprzedaż Forty Bema.,950 000 ,11 816 ,4 ,80.4  ,"ul. Wrocławska, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",Biuro Metrohouse Warszawa UrsusBiuro nieruchomości
2283,2-pokojowe mieszkanie 52m2 + balkon Bez Prowizji,1 512 100 ,28 649 ,2 ,52.78  ,"ul. Chmielna, Mirów, Wola, Warszawa, mazowieckie",BPI Real Estate PolandInwestycja deweloperska
2284,1-pokojowe mieszkanie 36m2 + balkon Bezpośrednio,1 121 700 ,31 055 ,1 ,36.12  ,"ul. Chmielna, Mirów, Wola, Warszawa, mazowieckie",BPI Real Estate PolandInwestycja deweloperska
2285,"Z najemcą,3 pokoje w centrum",760 000 ,15 680 ,3 ,48.47  ,"ul. Krochmalna, Mirów, Wola, Warszawa, mazowieckie",UNI-GROUP NieruchomościBiuro nieruchomości
2286,"46m2, 2 pokoje + kuchnia, loggia",740 000 ,15 914 ,2 ,46.5  ,"ul. Stefana Okrzei, Stara Praga, Praga-Północ, Warszawa, mazowieckie",AS Immobilia sp. z o.o.Biuro nieruchomości
2287,Na sprzedaż rozkładowe 3 pokojowe mieszkanie,699 000 ,12 350 ,3 ,56.6  ,"ul. Starej Baśni, Huta, Bielany, Warszawa, mazowieckie",Freedom Nieruchomości | BiuraBiuro nieruchomości
2288,4-pokojowy apartament 127m2 + balkon,Zapytaj o cenę4 pokoje127.22 m²,,,,"ul. Ogrodowa, Mirów, Wola, Warszawa, mazowieckie",Moderna Holding sp. z o.o.Inwestycja deweloperska
2289,3-pokojowy apartament 67m2 + loggia Bezpośrednio,Zapytaj o cenę3 pokoje67.73 m²,,,,"ul. Ogrodowa, Mirów, Wola, Warszawa, mazowieckie",Moderna Holding sp. z o.o.Inwestycja deweloperska
2290,1-pokojowy apartament 32m2 Bez Prowizji,Zapytaj o cenę1 pokój32.14 m²,,,,"ul. Ogrodowa, Mirów, Wola, Warszawa, mazowieckie",Moderna Holding sp. z o.o.Inwestycja deweloperska
2291,5-pokojowe mieszkanie 110m2 + taras Bezpośrednio,Zapytaj o cenę5 pokoi110.89 m²,,,,"ul. Namysłowska, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",DantexInwestycja deweloperska
2292,4-pokojowe mieszkanie 91m2 + balkon,Zapytaj o cenę4 pokoje91.45 m²,,,,"ul. Namysłowska, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",DantexInwestycja deweloperska
2293,3-pokojowe mieszkanie 64m2 + balkon Bez Prowizji,Zapytaj o cenę3 pokoje64.32 m²,,,,"ul. Namysłowska, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",DantexInwestycja deweloperska
2294,2-pokojowe mieszkanie 39m2 + balkon,Zapytaj o cenę2 pokoje39.63 m²,,,,"ul. Namysłowska, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",DantexInwestycja deweloperska
2295,1-pokojowe mieszkanie 29m2 + ogródek,Zapytaj o cenę1 pokój29.66 m²,,,,"ul. Namysłowska, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",DantexInwestycja deweloperska
2296,Apartament. 3 tarasy. Miasteczko Wilanów.,3 800 000 ,20 091 ,4 ,189.14  ,"Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",BESSO ESTATEBiuro nieruchomości
2297,"Nowoczesne dwupokojowe mieszkanie, Mokotów",569 000 ,14 974 ,2 ,38  ,"ul. Jana Maklakiewicza, Wyględów, Mokotów, Warszawa, mazowieckie",Biuro nieruchomości
2298,"Mieszkanie, 140 m², Warszawa",4 999 999 ,35 714 ,4 ,140  ,"Powiśle, Śródmieście, Warszawa, mazowieckie",PROSPER HOUSEBiuro nieruchomości
2299,Dwupokojowe mieszkanie Tarchomin,585 000 ,13 000 ,2 ,45  ,"Nowodwory, Białołęka, Warszawa, mazowieckie",TEstateBiuro nieruchomości
2300,Kawalerka 26m2 na Bemowie,550 000 ,21 154 ,1 ,26  ,"Chrzanów, Bemowo, Warszawa, mazowieckie",TEstateBiuro nieruchomości
2301,"Mieszkanie, 52 m², Warszawa",635 000 ,12 212 ,2 ,52  ,"Międzylesie, Wawer, Warszawa, mazowieckie",Stołeczne Centrum NieruchomościBiuro nieruchomości
2302,Dwupoziomowe Mieszkanie Na Nowodworach,790 000 ,8290 ,4 ,95.3  ,"Nowodwory, Białołęka, Warszawa, mazowieckie",Stołeczne Centrum NieruchomościBiuro nieruchomości
2303,2 pokoje-WOLA Świetna lokalizacja BEZPOŚREDNIO,745 000 ,15 851 ,2 ,47  ,"ul. Okopowa 14, Nowolipki, Wola, Warszawa, mazowieckie",Oferta prywatna
2304,"Wspaniały,trzypokojowy apartament. dla rodziny.",920 000 ,14 991 ,3 ,61.37  ,"Salomea, Włochy, Warszawa, mazowieckie",METROHOUSE PruszkówBiuro nieruchomości
2305,Mieszkanie 2 pokojowe Gagarina/ Iwicka,595 000 ,19 833 ,2 ,30  ,"ul. Iwicka 26, Sielce, Mokotów, Warszawa, mazowieckie",Oferta prywatna
2306,"Okazja !!! Mieszkanie na Woli 55,10 m2",769 000 ,13 956 ,3 ,55.1  ,"Nowolipki, Wola, Warszawa, mazowieckie",SKYLINE NIERUCHOMOŚCIBiuro nieruchomości
2307,"mieszkanie przy Parku nad Balatonem, bezpośrednio",800 000 ,13 289 ,2 ,60.2  ,"ul. kard. Aleksandra Kakowskiego, Gocław, Praga-Południe, Warszawa, mazowieckie",Oferta prywatna
2308,2pok+ogródek|widna kuchnia| Kampinos| świetna cena,550 080 ,12 000 ,2 ,45.84  ,"Wólka Węglowa, Bielany, Warszawa, mazowieckie",Zewnętrzne Biuro Sprzedaży DeweloperskiejBiuro nieruchomości
2309,Mieszkanie na nowym osiedlu,824 000 ,15 547 ,2 ,53  ,"ul. Jana Nowaka-Jeziorańskiego, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",Metrohouse  Franchise S.A.Biuro nieruchomości
2310,2/3pok| Zielona okolica| dla rodzin| super cena!,595 443 ,12 369 ,3 ,48.14  ,"Wólka Węglowa, Bielany, Warszawa, mazowieckie",Zewnętrzne Biuro Sprzedaży DeweloperskiejBiuro nieruchomości
2311,"Mieszkanie Warszawa Wola 43,50 m²",549 000 ,12 621 ,3 ,43.5  ,"Ulrychów, Wola, Warszawa, mazowieckie",Oferta prywatna
2312,"Niezależne M2 oddzielna kuchnia | Blisko park, WUM",639 000 ,14 881 ,2 ,42.94  ,"ul. Księcia Trojdena, Rakowiec, Ochota, Warszawa, mazowieckie",Biuro nieruchomości
2313,2 pok. mieszkanie w super lokalizacji na Bielanach,670 000 ,16 040 ,2 ,41.77  ,"ul. Władysława Broniewskiego 91, Piaski, Bielany, Warszawa, mazowieckie",Oferta prywatna
2314,"Ustawne, balkon ponad 6 mkw",568 512 ,11 258 ,3 ,50.5  ,"ul. Leona Berensona, Grodzisk, Białołęka, Warszawa, mazowieckie",Nieruchomości PlusBiuro nieruchomości
2315,Balkon 6 m2/Idealne na start lub wynajem,417 012 ,12 356 ,2 ,33.75  ,"ul. Leona Berensona, Grodzisk, Białołęka, Warszawa, mazowieckie",Nieruchomości PlusBiuro nieruchomości
2316,Przytulna kawalerka na Saskiej Kępie,620 000 ,22 143 ,1 ,28  ,"ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",Hamilton MayBiuro nieruchomości
2317,BEZPOŚREDNIO Trzypokojowe mieszkanie na Rydygiera,1 550 000 ,24 940 ,3 ,62.15  ,"ul. Ludwika Rydygiera, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",Oferta prywatna
2318,Blisko Stacji PKP,629 000 ,14 707 ,2 ,42.77  ,"Salomea, Włochy, Warszawa, mazowieckie",Zewnętrzne Biuro Sprzedaży DeweloperaBiuro nieruchomości
2319,Korotyńskiego 3 pok.74m2 garaż,1 320 000 ,17 742 ,3 ,74.4  ,"ul. Władysława Korotyńskiego, Rakowiec, Ochota, Warszawa, mazowieckie",Biuro Obrotu Nieruchomościami Szczęśliwy Dom Danuta PiśkoBiuro nieruchomości
2320,"Mieszkanie na sprzedaż 85,8 m2 Ordonówny Białołęka",1 072 500 ,12 500 ,4 ,85.8  ,"ul. Hanki Ordonówny 19d, Nowodwory, Białołęka, Warszawa, mazowieckie",Oferta prywatna
2321,Do wejścia | Jasne | Wyjątkowy taras,1 500 000 ,23 077 ,3 ,65  ,"ul. Prymasa Augusta Hlonda, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",Nieruchomości PlusBiuro nieruchomości
2322,Nowe 3 pokoje! Atrakcyjna cena i przemyślany układ,439 591 ,9950 ,3 ,44.18  ,"ul. Lewandów, Grodzisk, Białołęka, Warszawa, mazowieckie",Oferty deweloperskieBiuro nieruchomości
2323,3-pokojowy lokal z przestronną loggią! 9 900 zł/m²,463 419 ,9900 ,3 ,46.81  ,"ul. Lewandów, Grodzisk, Białołęka, Warszawa, mazowieckie",Oferty deweloperskieBiuro nieruchomości
2324,4 pokoje z urokliwym ogródkiem! Tylko 9 600zł/m²,606 912 ,9600 ,4 ,63.22  ,"ul. Lewandów, Grodzisk, Białołęka, Warszawa, mazowieckie",Oferty deweloperskieBiuro nieruchomości
2325,Mieszkanie 45 m2 ul. Szwedzka Praga Bohema Metro,764 000 ,16 978 ,2 ,45  ,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",Oferta prywatna
2326,"Bezpośrednio, Perełka Powiśle, wysoki standard",3 500 000 ,29 661 ,4 ,118  ,"Powiśle, Śródmieście, Warszawa, mazowieckie",Oferta prywatna
2327,"ROI 8% w skali roku!/Muranów/Dwupak!/38,6m2",679 900 ,17 614 ,2 ,38.6  ,"ul. Niska, Muranów, Śródmieście, Warszawa, mazowieckie",Oferta prywatna
2328,PRZESTRONNE 2-pokoje || I piętro || Płochocińska,591 057 ,8885 ,2 ,66.52  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2329,2-POKOJOWE mieszkanie + GARDEROBA -- bezpośrednio,587 291 ,8835 ,2 ,66.47  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2330,PRZESTRONNE 2-pokoje || OGRÓDEK || Płochocińska,583 880 ,8785 ,2 ,66.46  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2331,2-pokoje na I piętrze - ROZKŁADOWE - Płochocińska,576 203 ,8836 ,2 ,65.21  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2332,FUNKCJONALNE 2-pokoje + garderoba Zakątek Harmonia,572 680 ,8786 ,2 ,65.18  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2333,2-pokoje na II piętrze - ROZKŁADOWE - Płochocińska,578 667 ,8886 ,2 ,65.12  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2334,2-pokoje na II piętrze - ROZKŁADOWE - Płochocińska,578 667 ,8886 ,2 ,65.12  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2335,Mieszkanie 3-pokoje z OGRÓDKIEM ul. Płochocińska,572 155 ,8786 ,3 ,65.12  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2336,Mieszkanie 2-pokojowe z GARDEROBĄ ul. Płochocińska,575 147 ,8836 ,2 ,65.09  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2337,ETAP II ~ 3-pokojowe mieszkanie z 66 m2 TARASEM ~,630 154 ,9803 ,3 ,64.28  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2338,ROZKŁADOWE 3-pokoje na PARTERZE Płochocińska,535 608 ,8650 ,3 ,61.92  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2339,"3 pokojowe, na Białołęce, 2 ogródki ,obok tramwaju",690 600 ,12 356 ,3 ,55.89  ,"ul. Talarowa, Tarchomin, Białołęka, Warszawa, mazowieckie",LOFT51Biuro nieruchomości
2340,Białołęka - 3-pokoje na I piętrze - ROZKŁADOWE,"540 137,50 ",8750 ,3 ,61.73  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2341,Ustawne 3-pokojowe mieszkanie ul. Płochocińska,501 693 ,8900 ,3 ,56.37  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2342,APARTMENT FOR SALE PLATINUM TOWERS GRZYBOWSKA,900 000 ,23 672 ,2 ,38.02  ,"Mirów, Wola, Warszawa, mazowieckie",Oferta prywatna
2343,"Mieszkanie, Bemowo, ul. Kazubów, blisko metra",780 000 ,12 787 ,3 ,61  ,"ul. Kazubów, Górce, Bemowo, Warszawa, mazowieckie",Oferta prywatna
2344,MIESZKANIE 3-pokoje -- Bezpośrednio - Płochocińska,501 604 ,8900 ,3 ,56.36  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2345,3-POKOJE Białołęka __ Nowa inwestycja ATAL S.A.,498 667 ,8900 ,3 ,56.03  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2346,3-POKOJOWE MIESZKANIE - Nowe Osiedle Płochocińska,498 667 ,8900 ,3 ,56.03  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2347,2-POKOJE + LOGGIA ul. Płochocińska,"477 217,50 ",9186 ,2 ,51.95  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2348,MIESZKANIE 2-POKOJE bez PCC ul. Płochocińska,489 457 ,9169 ,2 ,53.38  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2349,W cenie mieszkania miejsce postojowe i kom. lok.,990 000 ,17 247 ,3 ,57.4  ,"ul. Magnacka, Gołąbki, Ursus, Warszawa, mazowieckie",MyEstateBiuro nieruchomości
2350,PRZESTRONNE 2-pokoje || I piętro || Płochocińska,"488 811,50 ",9169 ,2 ,53.31  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2351,4pok|Metro Wawrzyszew |super cena i lokalizacja!,1 510 000 ,18 826 ,4 ,80.21  ,"Wawrzyszew, Bielany, Warszawa, mazowieckie",Zewnętrzne Biuro Sprzedaży DeweloperskiejBiuro nieruchomości
2352,53 m2 ~ 3-POKOJE z loggią ~ bez PCC ~ Białołęka,488 725 ,9169 ,2 ,53.3  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2353,FUNKCJONALNE 2-pokoje + loggia * Zakątek Harmonia,463 705 ,9387 ,2 ,49.4  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2354,Ustawne 2-pokoje LOGGIA ul. Płochocińska || 2025,463 518 ,9387 ,2 ,49.38  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2355,2-pokoje na II piętrze - ROZKŁADOWE - Płochocińska,468 267 ,9487 ,2 ,49.36  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2356,PRZESTRONNE 2-pokoje || OGRÓDEK || Płochocińska,457 840 ,9287 ,2 ,49.3  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2357,2-POKOJOWE mieszkanie * Zakątek Harmonia II,"462 322,50 ",9387 ,2 ,49.25  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2358,2-POKOJOWE MIESZKANIE - Nowe Osiedle Płochocińska,"462 322,50 ",9387 ,2 ,49.25  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2359,2-POKOJE + LOGGIA ul. Płochocińska,466 964 ,9487 ,2 ,49.22  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2360,PRAGA-POŁUDNIE/ 3 pokoje/ balkon i loggia/ garaż,920 000 ,14 952 ,3 ,61.53  ,"ul. Grochowska, Grochów, Praga-Południe, Warszawa, mazowieckie",Oferta prywatna
2361,"3 pok,67,10m2,Imielin,ul. Bekasów/2 Garaże/Ogródek",1 048 000 ,15 618 ,3 ,67.1  ,"ul. Bekasów, Stary Imielin, Ursynów, Warszawa, mazowieckie",Prodom NieruchomościBiuro nieruchomości
2362,2/3pok| super dla rodzin| zielone Bielany| cena!!,667 800 ,12 000 ,3 ,55.65  ,"Wólka Węglowa, Bielany, Warszawa, mazowieckie",Zewnętrzne Biuro Sprzedaży DeweloperskiejBiuro nieruchomości
2363,"ok. Placu Hallera, po generalnym remoncie | 4 pok.",896 000 ,14 906 ,4 ,60.11  ,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",PURE ESTATESBiuro nieruchomości
2364,Dla rodziny 2+2 lub inwestycyjne,860 000 ,12 464 ,4 ,69  ,"ul. Puławska 238, Stary Imielin, Ursynów, Warszawa, mazowieckie",Oferta prywatna
2365,LUX apartament z widokiem na park. TARAS !!!,1 550 000 ,15 196 ,4 ,102  ,"ul. Nizinna, Grochów, Praga-Południe, Warszawa, mazowieckie",Biuro nieruchomości
2366,2/3pok| super miejsce dla rodzin| Kampinos| cena!,595 443 ,12 300 ,3 ,48.41  ,"Wólka Węglowa, Bielany, Warszawa, mazowieckie",Zewnętrzne Biuro Sprzedaży DeweloperskiejBiuro nieruchomości
2367,Poddasze 120M2 Do Adaptacji/ Metro 5min/ Stan Dew.,1 699 000 ,13 484 ,5 ,126  ,"Czerwonej Jarzębiny, Zacisze, Targówek, Warszawa, mazowieckie",Via PropertyBiuro nieruchomości
2368,3Pokoje|62M2|Taras 120M2,739 000 ,11 919 ,3 ,62  ,"ul. Józefa Czechowicza, Niedźwiadek, Ursus, Warszawa, mazowieckie",Via PropertyBiuro nieruchomości
2369,2pk |2021r| Świeżo wykończone l Mokotów l Mangalia,799 000 ,16 881 ,2 ,47.33  ,"al. Aleja gen. Władysława Sikorskiego, Stegny, Mokotów, Warszawa, mazowieckie",Via PropertyBiuro nieruchomości
2370,Apartament 83 m2 w otoczeniu parków na Powiślu,1 660 000 ,20 000 ,3 ,83  ,"ul. Franciszka Salezego Jezierskiego, Solec, Śródmieście, Warszawa, mazowieckie",KORABBiuro nieruchomości
2371,Bezpośrednio 2-pokoje-OKAZJA,417 000 ,12 265 ,2 ,34  ,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",Salon Dewelopera J.W. ConstructionBiuro nieruchomości
2372,Nowa Kawalerka+ pompa ciepła-+ panele,370 000 ,13 704 ,1 ,27  ,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",Salon Dewelopera J.W. ConstructionBiuro nieruchomości
2373,2/3pok|Bielany| atrakcyjna cena!|super dla rodzin,634 200 ,12 000 ,3 ,52.85  ,"Wólka Węglowa, Bielany, Warszawa, mazowieckie",Zewnętrzne Biuro Sprzedaży DeweloperskiejBiuro nieruchomości
2374,Atrakcyjne mieszkanie blisko metra,1 097 000 ,14 247 ,4 ,77  ,"Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",Zarzecki & KoziakBiuro nieruchomości
2375,2pok z narożnym ogrodem| Bielany| super cena!,546 650 ,13 000 ,2 ,42.05  ,"Wólka Węglowa, Bielany, Warszawa, mazowieckie",Zewnętrzne Biuro Sprzedaży DeweloperskiejBiuro nieruchomości
2376,Okazja 2-pokoje+ Pompa+Panele,417 000 ,12 265 ,2 ,34  ,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",Salon Dewelopera J.W. ConstructionBiuro nieruchomości
2377,Piękne mieszkanie - gotowe do wprowadzenia !!!,798 000 ,9500 ,4 ,84  ,"Skorosze, Ursus, Warszawa, mazowieckie",4 Ściany Sp. z o.o.Biuro nieruchomości
2378,2pok w świetnej cenie| Bielany| spokojna okolica,631 680 ,12 000 ,2 ,52.64  ,"Wólka Węglowa, Bielany, Warszawa, mazowieckie",Zewnętrzne Biuro Sprzedaży DeweloperskiejBiuro nieruchomości
2379,3pok+oddzielna kuchnia|zielone Bielany|super cena,730 320 ,12 000 ,3 ,60.86  ,"Wólka Węglowa, Bielany, Warszawa, mazowieckie",Zewnętrzne Biuro Sprzedaży DeweloperskiejBiuro nieruchomości
2380,3 pokoje z ogrodem na Białołęce blisko tramwaju,681 400 ,12 626 ,3 ,53.97  ,"ul. Talarowa, Tarchomin, Białołęka, Warszawa, mazowieckie",LOFT51Biuro nieruchomości
2381,"Stary Mokotów, Wiktorska, 2 pok., 48,84 m2, 1954 r",775 000 ,15 868 ,2 ,48.84  ,"Stary Mokotów, Mokotów, Warszawa, mazowieckie",Brzozowski NieruchomościBiuro nieruchomości
2382,Royal Wilanow 123 m (4 pokoje),2 644 500 ,21 500 ,4 ,123  ,"ul. Krzysztofa Kieślowskiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",Oferta prywatna
2383,"Mieszkanie 3 pokojowe Gocław ""Balaton""",864 000 ,12 493 ,3 ,69.16  ,"Gocław, Praga-Południe, Warszawa, mazowieckie",Oferta prywatna
2384,Klimatycze Mieszkanie W Kamienicy Na Żoliborzu,2 160 000 ,20 129 ,4 ,107.31  ,"Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",UNI-GROUP NieruchomościBiuro nieruchomości
2385,3-pokojowe mieszkanie 68m2 + loggia Bez Prowizji,1 477 112 ,21 488 ,3 ,68.74  ,"ul. Mariana Zdziechowskiego, Ksawerów, Mokotów, Warszawa, mazowieckie",SkanskaInwestycja deweloperska
2386,"Pierwszy raz w sprzedaży, nie szukaj dalej,Bielany",797 825 ,16 282 ,3 ,49  ,"Wrzeciono, Bielany, Warszawa, mazowieckie",Bartosz Chmielewski NieruchomościBiuro nieruchomości
2387,"Rodzinne mieszkanie, duży taras, ostatnie piętro",969 000 ,10 875 ,4 ,89.1  ,"ul. Marywilska 68, Białołęka Dworska, Białołęka, Warszawa, mazowieckie",Oferta prywatna
2388,2 pokoje+kuchnia || Port Praski || po remoncie!,740 000 ,15 914 ,2 ,46.5  ,"ul. Stefana Okrzei, Stara Praga, Praga-Północ, Warszawa, mazowieckie",Kienigsman EstatesBiuro nieruchomości
2389,Nowoczesne | wysoki standard | metro Bródno,549 000 ,13 390 ,2 ,41  ,"ul. Michała Kleofasa Ogińskiego, Bródno, Targówek, Warszawa, mazowieckie",iHomesBiuro nieruchomości
2390,"Ciche, po remoncie na Muranowie!",813 000 ,17 298 ,2 ,47  ,"ul. Niska, Muranów, Śródmieście, Warszawa, mazowieckie",PINIAHA Nieruchomości Sp. z o.o.Biuro nieruchomości
2391,3-POKOJOWE MIESZKANIE - Nowe Osiedle Płochocińska,570 615 ,9014 ,3 ,63.3  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2392,\\ Bezpośrednio // 3 pokoje z dużym BALKONEM,570 636 ,9018 ,3 ,63.28  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2393,NOWE OSIEDLE ul. PŁOCHOCIŃSKA - 3 pokoje - 64 mkw,590 093 ,9216 ,3 ,64.03  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2394,25m2 2 pokoje Ursus Skorosze IV kw 2024,369 000 ,14 442 ,2 ,25.55  ,"ul. Ryżowa, Skorosze, Ursus, Warszawa, mazowieckie",Oferta prywatna
2395,Sprzedam kawalerkę,420 000 ,17 500 ,1 ,24  ,"ul. Antka Rozpylacza, Ulrychów, Wola, Warszawa, mazowieckie",Oferta prywatna
2396,Ładne 3-POKOJOWE mieszkanie Białołęka BEZPOŚREDNIO,578 229 ,9005 ,3 ,64.21  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2397,MIESZKANIE 3-pokoje -- Bezpośrednio - Płochocińska,572 788 ,9015 ,3 ,63.54  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2398,3 pokoje na Białołęce - 64 m2 na II piętrze,586 485 ,9118 ,3 ,64.32  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
2399,Idealne pod inwestycję mieszkanie na Gocławiu,715 000 ,11 413 ,3 ,62.65  ,"Gocław, Praga-Południe, Warszawa, mazowieckie",Biuro Metrohouse Warszawa UrsusBiuro nieruchomości
