,Listing,Price,SQMUP,Room Info,Area,Location,Ads
59,"Mieszkanie 64,5m2 - Sprzedam bezpośrednio.",962 000 ,14 915 ,3 ,64.5  ,"ul. Tadeusza Hennela, Szamoty, Ursus, Warszawa, mazowieckie",Biuro nieruchomości
60,Śródmieście. Dwa pokoje. Dwustronne.,849 000 ,16 980 ,2 ,50  ,"Muranów, Śródmieście, Warszawa, mazowieckie",Biuro nieruchomości
61,Śródmieście. Trzy pokoje. Loggia.,790 000 ,15 421 ,3 ,51.23  ,"ul. Miła, Muranów, Śródmieście, Warszawa, mazowieckie",Inwestycja deweloperska
62,Żoliborz. Kawalerka. Kamienica 1938.,465 000 ,14 091 ,1 ,33  ,"Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",Inwestycja deweloperska
63,❗❗WYKOŃCZONY SŁONECZNY APARTAMENT❗❗ 5'Metro MORY❗❗,616 000 ,15 400 ,2 ,40  ,"ul. Edwarda Habicha, Szamoty, Ursus, Warszawa, mazowieckie",Inwestycja deweloperska
64,"*Stylowe *Kamienica *Balkon *wysokość 3,8m*Centrum",1 885 000 ,29 000 ,2 ,65  ,"ul. Hoża, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",Biuro nieruchomości
65,2-pokojowe mieszkanie 50m2 + loggia,Zapytaj o cenę2 pokoje50.7 m²,,,,"ul. Krochmalna, Mirów, Wola, Warszawa, mazowieckie",Inwestycja deweloperska
66,1-pokojowe mieszkanie 31m2 + loggia Bez Prowizji,Zapytaj o cenę1 pokój31.33 m²,,,,"ul. Krochmalna, Mirów, Wola, Warszawa, mazowieckie",Inwestycja deweloperska
67,1-pokojowe mieszkanie 41m2 + balkon Bez Prowizji,1 202 100 ,28 904 ,1 ,41.59  ,"ul. Chmielna, Mirów, Wola, Warszawa, mazowieckie",Inwestycja deweloperska
68,"Nowość! Dzień otwarty 16 września, sobota g. 11-13",1 470 000 ,20 789 ,3 ,70.71  ,"ul. św. Urszuli Ledóchowskiej, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",Inwestycja deweloperska
69,2-pokojowe mieszkanie 40m2 + balkon Bez Prowizji,Zapytaj o cenę2 pokoje40.55 m²,,,,"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",Biuro nieruchomości
70,3-pokojowe mieszkanie 56m2 + balkon Bez Prowizji,Zapytaj o cenę3 pokoje56.62 m²,,,,"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",Inwestycja deweloperska
71,2-pokojowe mieszkanie 46m2 + balkon Bezpośrednio,Zapytaj o cenę2 pokoje46.5 m²,,,,"ul. Szeligowska 24, Chrzanów, Bemowo, Warszawa, mazowieckie",Inwestycja deweloperska
72,3-pokojowe mieszkanie 58m2 + balkon Bez Prowizji,Zapytaj o cenę3 pokoje58.93 m²,,,,"ul. Szeligowska 24, Chrzanów, Bemowo, Warszawa, mazowieckie",Inwestycja deweloperska
73,"4 pokoje, 100m2, Wysoki standard ul. Cybernetyki",1 780 000 ,17 764 ,4 ,100.2  ,"ul. Cybernetyki, Służewiec, Mokotów, Warszawa, mazowieckie",Inwestycja deweloperska
74,2-pokojowe mieszkanie 48m2 + taras Bez Pośredników,Zapytaj o cenę2 pokoje48.93 m²,,,,"ul. Śródziemnomorska, Stegny, Mokotów, Warszawa, mazowieckie",Inwestycja deweloperska
75,4-pokojowe mieszkanie 88m2 + taras Bez Pośredników,1 183 567 ,13 300 ,4 ,88.99  ,"ul. Przedpole, Raków, Włochy, Warszawa, mazowieckie",Inwestycja deweloperska
76,3-pokojowe mieszkanie 63m2 + balkon,804 384 ,12 600 ,3 ,63.84  ,"ul. Przedpole, Raków, Włochy, Warszawa, mazowieckie",Biuro nieruchomości
